"id","label"
2,"abus de confiance"
3,adhésif
4,"commerce d'État"
5,"commerce de détail"
6,"commerce de gros"
7,"commerce des armes"
8,"commerce Est-Ouest"
9,"commerce extérieur"
10,"commerce intérieur"
11,"commerce international"
12,"adhésion à l'Union européenne"
13,commercialisation
14,"commission ad hoc"
15,"commission d'enquête"
16,"commission ONU"
17,"commission parlementaire"
18,"commission PE"
19,"adjudication de marché"
20,"commission permanente"
21,"commission spécialisée"
22,"commission technique ONU"
23,commissionnaire
24,Commonwealth
25,"Communautés européennes"
26,commune
27,adjuvant
28,"communication de masse"
29,"communication par satellite"
30,"communiqué de presse"
31,communisme
32,Comores
33,"compagnie d'assurances"
34,"compétence administrative"
35,"compétence communautaire"
36,"compétence d'attribution"
37,"administration centrale"
38,"compétence de l'exécutif"
39,"compétence des États membres"
40,"compétence du Parlement"
41,"compétence juridictionnelle"
42,"compétence mixte"
43,"compétence territoriale"
44,compétitivité
45,"complémentarité des échanges"
46,"comportement du consommateur"
47,"administration de l'enseignement"
48,"comportement politique"
49,"composant électronique"
50,"composé minéral"
51,"composition de la population"
52,"composition du Parlement"
53,comptabilité
54,"comptabilité générale"
55,"comptabilité nationale"
56,"administration fiscale"
57,"comptabilité publique"
58,"comptabilité régionale"
59,comptable
60,compte
61,"compte consolidé"
62,"compte d'exploitation"
63,"comptoir de vente"
64,comté
65,"concentration de la population"
66,"concentration des pouvoirs"
67,"administration locale"
68,"concentration économique"
69,"concentration industrielle"
70,"conception de produit"
71,concessionnaire
72,"concours financier"
73,"union libre"
74,concurrence
75,"concurrence internationale"
76,"administration publique"
77,condensation
78,condiment
79,"condition de l'aide"
80,"condition féminine"
81,"condition de travail"
82,"condition de vie"
83,"condition économique"
84,"situation sociale"
85,"condition socio-économique"
86,conditionnement
87,"admission à l'examen"
88,"conditions atmosphériques"
89,"conférence ONU"
90,confidentialité
91,confiserie
92,"conflit de juridictions"
93,"conflit de compétences"
94,"abus de droit"
95,"admission temporaire"
96,"conflit du travail"
97,"conflit international"
98,"conflit racial"
99,"conflit social"
100,"congé de maladie"
101,"congé de maternité"
102,"congé formation"
103,"congé parental"
104,"congé payé"
105,"congé sans solde"
106,"congé social"
107,congélation
108,conglomérat
109,Congo
110,"conjoncture économique"
111,Connacht
112,"Conseil de l'Union européenne"
113,"conseil d'administration"
114,"Conseil d'association CE"
115,"adoption d'enfant"
116,"Conseil de coopération culturelle"
117,"Conseil de l'Asie et du Pacifique"
118,"Conseil de l'Europe"
119,"pays du Conseil de l'Europe"
120,"Conseil de sécurité ONU"
121,"Conseil de tutelle ONU"
122,"Conseil des communes et régions d'Europe"
123,"Conseil des ministres"
124,"adoption de la loi"
125,"Conseil européen"
126,"Conseil nordique"
127,"pays du Conseil nordique"
128,"conseiller agricole"
129,"conservation des aliments"
130,"conservation des pêches"
131,"conservation des ressources"
132,conservatisme
133,conserverie
134,"consolidation de la dette"
135,consommateur
136,consommation
137,"consommation alimentaire"
138,"consommation d'eau"
139,"consommation d'énergie"
140,"consommation des ménages"
141,"adoption du budget"
142,"consommation finale"
143,"consommation intérieure"
144,"consommation par tête"
145,constitution
146,"constitution d'un parti"
147,"constitution de société"
148,"contrôle de constitutionnalité"
149,"bâtiment agricole"
150,"construction de route"
151,"construction métallique"
152,"construction navale"
153,"consultation d'information"
154,"consultation des travailleurs"
155,conteneur
156,"contentieux électoral"
157,adulte
158,"contingent tarifaire"
159,contraception
160,"contraction de la semaine"
161,contrat
162,"contrat d'assurance"
163,"contrat de travail"
164,contrefaçon
165,EADI
166,contreplaqué
167,contribuable
168,"contrôle administratif"
169,"contrôle aérien"
170,"contrôle budgétaire"
171,"contrôle de gestion"
172,"contrôle de la communication"
173,AELE
174,"contrôle de la pollution"
175,"contrôle de liquidité"
176,"contrôle de production"
177,"contrôle de qualité des produits industriels"
178,"contrôle des changes"
179,"contrôle des concentrations"
180,"contrôle des connaissances"
181,"contrôle des migrations"
182,"abus de pouvoir"
183,"pays de l'AELE"
184,"contrôle des prix"
185,"contrôle financier"
186,"contrôle parlementaire"
187,"contrôle phytosanitaire"
188,"contrôle sanitaire"
189,"convention CIV"
190,"convention collective"
191,aéroport
192,"convention d'Arusha"
193,"convention de Lomé"
194,"convention de Lomé I"
195,"convention de Lomé II"
196,"convention de Yaoundé"
197,"convention ONU"
198,"convergence économique"
199,"conversion de l'énergie"
200,"convertibilité monétaire"
201,"Îles Cook"
202,"coopération administrative"
203,"coopération commerciale"
204,"coopération culturelle"
205,"coopération économique"
206,"coopération européenne"
207,"coopération financière"
208,aérosol
209,"coopération industrielle"
210,"coopération institutionnelle"
211,"coopération interentreprises"
212,"coopération internationale"
213,"coopération judiciaire"
214,"coopération militaire"
215,"coopération monétaire"
216,"coopération politique"
217,"coopération régionale"
218,"affectation des terres"
219,"coopération scientifique"
220,"coopération Sud-Sud"
221,"coopération technique"
222,"coopération transfrontalière"
223,coopérative
224,"coopérative agricole"
225,"coopérative de consommation"
226,"coopérative de crédit"
227,"coordination des aides"
228,"publicité des prix"
229,copropriété
230,"Corée du Sud"
231,"Corée du Nord"
232,Coreper
233,corporatisme
234,"corps gras"
235,"corps gras animal"
236,"corps gras végétal"
237,correspondance
238,corrosion
239,"affiliation politique"
240,corruption
241,Corse
242,"Costa Rica"
243,"cotation boursière"
244,"Côte d'Ivoire"
245,"cotisation sociale"
246,"cotisation sucre"
247,coton
248,"coup d'État"
249,affrètement
250,"Cour de justice des Communautés européennes"
251,"Cour des comptes européenne"
252,"Cour européenne des droits de l'homme"
253,"Cour internationale de justice"
254,"courant migratoire"
255,"cours d'eau"
256,Afghanistan
257,"cours des valeurs"
258,courtier
259,"coût d'équipement"
260,"coût d'investissement"
261,"coût de capital"
262,"coût de distribution"
263,"coût de fonctionnement"
264,"coût de l'éducation"
265,"coût de la construction"
266,"coût de la pollution"
267,"coût de la santé"
268,"coût de la vie"
269,"coût de production"
270,"coût de stockage"
271,"coût direct"
272,"coût du crédit"
273,"coût salarial"
274,"accès à l'éducation"
275,Afrique
276,"coût social"
277,"création artistique"
278,"création d'emploi"
279,crédit
280,"crédit à court terme"
281,"crédit à l'exportation"
282,"crédit à l'importation"
283,"crédit à la consommation"
284,"crédit à long terme"
285,"Afrique anglophone"
286,"crédit à moyen terme"
287,"crédit commercial"
288,"crédit croisé"
289,"crédit d'investissement"
290,"crédit de paiement"
291,"crédit documentaire"
1491,ISO
292,"crédit immobilier"
293,"crédit industriel"
294,"crédit international"
295,crème
296,"Afrique centrale"
297,"crème glacée"
298,"comité de la recherche scientifique et technique"
299,Crète
300,"crime de guerre"
301,criminologie
302,"crise de l'énergie"
303,"crise politique"
304,"croissance économique"
305,"Afrique du Nord"
306,Croix-Rouge
307,crustacé
308,Cuba
309,cuir
310,cuivre
311,culture
312,"culture céréalière"
313,"culture en terrasse"
314,"culture fourragère"
315,"Afrique du Sud"
316,"culture fruitière"
317,"culture industrielle"
318,"culture maraîchère"
319,"culture permanente"
320,"culture populaire"
321,"culture sans terre"
322,"culture sous serre"
323,"culture tropicale"
324,"culture vivrière"
325,"cumul de pensions"
326,"Afrique francophone"
327,Curaçao
328,"cycle économique"
329,Danemark
330,"régions du Danemark"
331,"débat parlementaire"
332,déboisement
333,décentralisation
334,"décharge du budget"
335,"Afrique méridionale"
336,déchet
337,"déchet agricole"
338,"déchet industriel"
339,"déchet non récupérable"
340,"déchet radioactif"
341,décision
342,"décision communautaire"
343,"décision CEEA"
344,"Afrique occidentale"
345,"décision générale CECA"
346,"décision individuelle CECA"
347,"déclaration d'entente"
348,"déclaration de candidature"
349,"déclaration de vote"
350,"Afrique orientale"
351,"décollage économique"
352,décolonisation
353,"décompte des voix"
354,déconcentration
355,"découpage administratif"
356,"découpage électoral"
357,décret
358,"déduction fiscale"
359,"défense antimissile"
360,déficit
361,"déficit budgétaire"
362,déflation
363,défrichement
364,"dégradation de l'environnement"
365,"accès à l'emploi"
366,"âge scolaire"
367,délinquance
368,"délinquance juvénile"
369,"demande d'emploi"
370,"demande de consommation"
371,"demande énergétique"
372,"démission du gouvernement"
373,"agence à l'étranger"
374,démocratie
375,"démocratie populaire"
376,démocratisation
377,"démocratisation de l'éducation"
378,démographie
379,dénaturation
380,"denrée périssable"
381,"Agence d'approvisionnement CEEA"
382,"densité de population"
383,département
384,"département d'outre-mer"
385,dépense
386,"dépense alimentaire"
387,"dépense budgétaire"
388,"agence de presse"
389,"dépense de consommation"
390,"dépense de fonctionnement"
391,"dépense hors budget"
392,"dépense nationale"
393,"dépense non obligatoire"
394,"dépense obligatoire"
395,"dépense opérationnelle"
396,"dépense publique"
397,dépolitisation
398,dépopulation
399,déporté
400,dépositaire
401,"dépôt bancaire"
402,"dépréciation du capital"
403,déréglementation
404,désarmement
405,"désastre d'origine humaine"
406,"désastre naturel"
407,"description d'emploi"
408,désert
409,désertification
410,déshydratation
411,désistement
412,"désobéissance civile"
413,"destruction des cultures"
414,"Association européenne des centres nationaux de productivité"
415,détroit
416,"dette extérieure"
417,"dette publique"
418,"deuxième chambre"
419,dévaluation
420,"développement économique"
421,"Agence pour l'énergie nucléaire"
422,"développement industriel"
423,"développement intégré"
424,"développement régional"
425,"développement social"
426,devise
427,diabète
428,"relation Nord-Sud"
429,dictature
430,"agence régionale"
431,dictionnaire
432,"différence culturelle"
433,"différend international"
434,"diffusion de l'information"
435,"diffusion de la culture"
436,"diffusion restreinte"
437,"diffusion sélective d'information"
438,"dimension de l'entreprise"
439,diplôme
440,"direction d'entreprise"
441,directive
442,"directive communautaire"
443,"discipline de vote"
444,discothèque
445,discours
446,"accès à l'information"
447,"discrimination sexuelle"
448,"discrimination économique"
449,"discrimination linguistique"
450,"discrimination politique"
451,"discrimination raciale"
452,"discrimination religieuse"
453,"disparité de prix"
454,"disparité économique"
455,"disparité régionale"
456,"agent de conservation"
457,"centre médical"
458,"ressource alimentaire"
459,"disponibilité énergétique"
460,"dispositif de conduite"
461,"dispositif de sécurité"
462,"dispositif de signalisation"
463,dissidence
464,"dissolution du Parlement"
465,dissuasion
466,distillation
467,"distribution commerciale"
468,"distribution d'énergie"
469,"distribution de l'eau"
470,"distribution de l'électricité"
471,"distribution exclusive"
472,"diversification de la production"
473,"diversification des exportations"
474,"agent de maîtrise"
475,"division internationale du travail"
476,divorce
477,Djibouti
478,"doctrine juridique"
479,document
480,"document audiovisuel"
481,"document d'identité"
482,"document de séance"
483,agglomération
484,"document douanier"
485,"document officiel"
486,"document parlementaire"
487,documentation
488,Dominique
489,dommage
490,"dommage de guerre"
491,"dommages et intérêts"
492,don
493,donation
494,douane
495,"double imposition"
496,"double nationalité"
497,"double occupation"
498,"agglomération rurale"
499,"douzième provisoire"
500,dragage
501,drainage
502,Drenthe
503,"droit à l'éducation"
504,"droit à l'information"
505,"droit à la culture"
506,"agglomération urbaine"
507,"droit à la justice"
508,"droit administratif"
509,"droit aérien"
510,"droits antidumping"
511,"droit au travail"
512,"droit bancaire"
513,"droit cambiaire"
514,"droit civil"
515,"droit commercial"
516,"droit communautaire"
517,"agitation politique"
518,"droit constitutionnel"
519,"droit coutumier"
520,"droit d'auteur"
521,"droit d'enregistrement"
522,"droit d'escale"
523,"droit d'établissement"
524,"droit de grève"
525,"droit de l'énergie"
526,"droit de l'environnement"
527,"agrégat économique"
528,"droit de l'espace"
529,"droit de l'individu"
530,"droit de la concurrence"
531,"droit de la famille"
532,"droit de la guerre"
533,"droit de la mer"
534,"droit de manifester"
535,"droit de pêche"
536,"accès à la profession"
537,"droit de préemption"
538,"droit de reprise"
539,"droit de vote"
540,"droit des assurances"
541,"droit des brevets"
542,"droit des États"
543,"droit des étrangers"
544,"droits des minorités"
545,"droit des sociétés"
546,"droit des transports"
547,"droit du logement"
548,"droit du travail"
549,"droit électoral"
550,"agriculture à temps partiel"
551,"réglementation financière"
552,"droit fiscal"
553,"droit fiscal international"
554,"législation forestière"
555,"droit humanitaire international"
556,"droit international"
557,"droit international privé"
558,"droit international public"
559,"agriculture biologique"
560,"droit maritime"
561,"droit matrimonial"
562,"droit national"
563,"droit nucléaire"
564,"droit pénal"
565,"délit économique"
566,"droit pénal international"
567,"droit privé"
568,"agriculture commerciale"
569,"droit public"
570,"droit rural"
571,"droit social"
572,"droit territorial"
573,"droite politique"
574,"droits civiques"
575,"droits de l'homme"
576,"droits de la femme"
577,"agriculture contractuelle"
578,"droits de tirage spéciaux"
579,dumping
580,"espérance de vie"
581,"durée des études"
582,"durée du bail"
583,"durée du travail"
584,"durée légale du travail"
585,"pays de l'EAMA"
586,"agriculture de groupe"
587,"Angleterre de l'Est"
588,eau
589,"eau communautaire"
590,"eau d'infiltration"
591,"eau de baignade"
592,eau-de-vie
593,"eau douce"
594,"eaux intérieures"
595,"agriculture de montagne"
596,"eaux internationales"
597,"eau minérale"
598,"eau potable"
599,"eau salée"
600,"eau souterraine"
601,"eau superficielle"
602,"eaux territoriales"
603,"eau usée"
604,"échange agricole"
605,"échange commercial"
606,"agriculture de subsistance"
607,"échange d'information"
608,"échange de publications"
609,"échange extracommunautaire"
610,"échange intracommunautaire"
611,"échange par groupe de pays"
612,"échange par pays"
613,"échange par produits"
614,échantillonnage
615,"agriculture extensive"
616,"échelle des salaires"
617,éclairage
618,"école à l'étranger"
619,"école européenne"
620,"école internationale"
621,"école maternelle"
622,"école nationale"
623,écologie
624,écologisme
625,économétrie
626,"accès au marché"
627,"agriculture intensive"
628,économie
629,"économie agricole"
630,"économie collective"
631,"économie concertée"
632,"économie d'échelle"
633,"économie d'énergie"
634,"économie de guerre"
635,"économie de l'entreprise"
636,"agriculture méditerranéenne"
637,"économie de marché"
638,"économie de subsistance"
639,"économie des transports"
640,"économie dirigée"
641,"économie domestique"
642,"économie forestière"
643,"économie industrielle"
644,"économie internationale"
645,"économie mixte"
646,"économie nationale"
647,agroalimentaire
648,"économie planifiée"
649,"économie postindustrielle"
650,"économie publique"
651,"économie régionale"
652,"économie souterraine"
653,"économie urbaine"
654,Écosse
655,écosystème
656,euro
657,agro-industrie
658,édition
659,éducation
660,"éducation à domicile"
661,"éducation artistique"
662,"éducation comparée"
663,"éducation de base"
664,"éducation de masse"
665,"éducation des adultes"
666,"éducation des étrangers"
667,"éducation non formelle"
668,"éducation permanente"
669,"éducation physique"
670,"éducation préscolaire"
671,"éducation sanitaire"
672,"éducation sexuelle"
673,"éducation spéciale"
674,édulcorant
675,"effectif scolaire"
676,agronomie
677,"effluent radioactif"
678,"égalité de rémunération"
679,"égalité de traitement"
680,"égalité devant la loi"
681,Égypte
682,"El Salvador"
683,"élargissement du marché"
684,agrume
685,"inscription électorale"
686,élection
687,"élection anticipée"
688,"élection européenne"
689,"élection indirecte"
690,"élection locale"
691,"élection nationale"
692,"élection parlementaire"
693,"élection partielle"
694,"Association internationale de développement"
695,"élection présidentielle"
696,"élection primaire"
697,électorat
698,électrochimie
699,électrométallurgie
700,électronique
701,électrotechnique
702,élevage
703,"soutien économique"
704,"élevage au sol"
705,"élevage de crustacés"
706,"élevage intensif"
707,élève
708,éligibilité
709,"élimination des déchets"
710,émancipation
711,emballage
712,embouche
713,embouteillage
714,"aide à l'emploi"
715,émigration
716,Émilie-Romagne
717,"Émirats arabes unis"
718,"émission de valeurs"
719,"émission monétaire"
720,"accident de transport"
721,"emploi réservé"
722,employé
723,"employé de bureau"
724,"employé des services publics"
725,employeur
726,emprunt
727,"aide à l'étranger"
728,"emprunt communautaire"
729,"emprunt international"
730,"emprunt public"
731,"émulsifiant alimentaire"
732,endettement
733,"énergie des vagues"
734,"énergie douce"
735,"aide à l'exportation"
736,"énergie dure"
737,"énergie électrique"
738,"énergie éolienne"
739,"énergie géothermique"
740,"énergie hydraulique"
741,"énergie hydroélectrique"
742,"énergie marémotrice"
743,"énergie nucléaire"
744,"énergie renouvelable"
745,"aide à l'hectare"
746,"énergie solaire"
747,"énergie thermique"
748,enfant
749,"enfant abandonné"
750,"enfant de migrant"
751,"enfant naturel"
752,"enfant unique"
753,"engagement des dépenses"
754,engrais
755,"engrais chimique"
756,"aide à l'investissement"
757,"engrais organique"
758,engraissement
759,"enlèvement politique"
760,"enquête économique"
761,"enquête de consommation"
762,"enquête sociale"
763,"enregistrement des données"
764,"enregistrement documentaire"
765,"aide à la construction"
766,"enrichissement du combustible"
767,enseignant
768,enseignement
769,"enseignement à distance"
770,"enseignement agricole"
771,"enseignement automatisé"
772,"enseignement confessionnel"
773,"enseignement des langues"
774,"enseignement général"
775,"enseignement gratuit"
776,"aide à la modernisation"
777,"enseignement laïc"
778,"enseignement médical"
779,"enseignement obligatoire"
780,"enseignement paramédical"
781,"enseignement pluridisciplinaire"
782,"enseignement postuniversitaire"
783,"enseignement primaire"
784,"enseignement privé"
785,"enseignement professionnel"
786,"enseignement public"
787,"aide à la production"
788,"enseignement scientifique"
789,"enseignement secondaire"
790,"enseignement supérieur"
791,"enseignement technique"
792,entente
793,"entente horizontale"
794,"entente illicite"
795,"entente internationale"
796,"entente verticale"
797,"aide alimentaire"
798,"entraide agricole"
799,"entrave non tarifaire"
800,"entrave tarifaire"
801,"entrave technique"
802,"entrepôt douanier"
803,entreprise
804,"entreprise artisanale"
805,"entreprise commerciale"
806,"entreprise commune"
807,"entreprise de location"
808,"entreprise de transport"
809,"entreprise étrangère"
810,"entreprise européenne"
811,"entreprise familiale"
812,"entreprise fiduciaire"
813,"entreprise immobilière"
814,"entreprise individuelle"
815,"accident du travail"
816,"aide aux défavorisés"
817,"entreprise industrielle"
818,"entreprise multinationale"
819,"entreprise privée"
820,"entreprise publique"
821,entretien
822,"entretien des cultures"
823,"environnement physique"
824,épargne
825,"aide aux entreprises"
826,"épargne forcée"
827,épidémie
828,épidémiologie
829,Épire
830,"épuisement des ressources"
831,Équateur
832,équidé
833,"équilibre budgétaire"
834,"équilibre écologique"
835,"aide bilatérale"
836,"équipement agricole"
837,"équipement collectif"
838,"équipement de véhicule"
839,"équipement électronique"
840,"équipement industriel"
841,"équipement socioculturel"
842,"aide CECA"
843,"équipement sportif"
844,"équivalence des diplômes"
845,ergonomie
846,"éruption volcanique"
847,esclavage
848,escompte
849,"espace aérien"
850,"espace judiciaire européen"
851,"espace vert"
852,"aide communautaire"
853,Espagne
854,"régions de l'Espagne"
855,"espèce protégée"
856,"espionnage industriel"
857,essai
858,"essai nucléaire"
859,Estrémadure
860,"aide complémentaire aux produits"
861,établissement
862,"établissement à statut spécial"
863,"établissement d'enseignement"
864,"établissement d'utilité publique"
865,"établissement du budget"
866,"établissement hospitalier"
867,"établissement pénitentiaire"
868,"établissement public"
869,étain
870,"étalon de change-or"
871,"aide d'urgence"
872,étalon-or
873,État
874,"état civil"
875,"état d'exception"
876,"état d'urgence"
877,"État providence"
878,États-Unis
879,"aide de l'État"
880,éthanol
881,Éthiopie
882,ethnologie
883,étiquetage
884,"étude de faisabilité"
885,"étude de marché"
886,"étude du travail"
887,étudiant
888,"étudiant étranger"
889,"aide économique"
890,eurocrédit
891,eurodevise
892,eurodollar
893,euro-émission
894,euromarché
895,eurocommunisme
896,Eurocontrol
897,eurodroite
898,"Eurogroupe (OTAN)"
899,Europe
900,"aide en nature"
901,"Europe du Nord"
902,"Europe méridionale"
903,"Europe occidentale"
904,"Europe centrale et orientale"
905,"pêche communautaire"
906,eutrophisation
907,"évaluation budgétaire"
908,"évaluation de projet"
909,"évaluation des ressources"
910,abats
911,"accident nucléaire"
912,"aide financière"
913,"évaluation technologique"
914,"évasion fiscale"
915,examen
916,"excédent agricole"
917,"exclusion du traitement CE"
918,"exécution de projet"
919,"exécution du budget"
920,"exécution du jugement"
921,"exemption d'autorisation d'entente"
922,"exemption tarifaire"
923,"exercice budgétaire"
924,"exode des compétences"
925,"exonération fiscale"
926,"exploitant agricole"
927,"exploitation agricole"
928,"exploitation agricole d'État"
929,"exploitation agricole mixte"
930,"exploitation des mers"
931,"exploitation des ressources"
932,"exploitation familiale agricole"
933,"exploitation forestière"
934,"exploitation laitière"
935,explosif
936,exportation
937,"exportation de capitaux"
938,expropriation
939,"aide multilatérale"
940,expulsion
941,exterritorialité
942,"extraction minière"
943,extradition
944,extrême-droite
945,extrême-gauche
946,Extrême-Orient
947,facturation
948,"aide non remboursable"
949,"faible revenu"
950,faillite
951,faim
952,faire-valoir
953,"faire-valoir direct"
954,"faire-valoir mixte"
955,famille
956,"famille nombreuse"
957,"famille par alliance"
958,FAO
959,"aide privée"
960,"farine de céréale"
961,fascisme
962,faune
963,"Fonds européen de coopération monétaire"
964,fécondité
965,"femme au foyer"
966,"aide régionale"
967,"femme migrante"
968,FEOGA
969,FEOGA-Garantie
970,FEOGA-Orientation
971,fer
972,fermage
973,"ferme collective"
974,"ferme pilote"
975,ferry-boat
976,"aide sanitaire"
977,IFLA
978,"fibre de bois"
979,"fibre de verre"
980,"fibre textile"
981,"Fédération internationale de documentation"
982,"Fonds international de développement agricole"
983,Fidji
984,"fièvre aphteuse"
985,"aide sectorielle"
986,fil
987,"filet de pêche"
988,filiale
989,"filiale commune"
990,financement
991,"financement à court terme"
992,"financement à long terme"
993,"financement à moyen terme"
994,"aide sociale"
995,"financement communautaire"
996,"financement compensatoire"
997,"financement complémentaire"
998,"financement de l'aide"
999,"financement de l'industrie"
1000,"financement des exportations"
1001,"financement des partis"
1002,"financement du budget"
1003,"financement électoral"
1004,"financement national"
1005,accise
1006,"finances internationales"
1007,"finances locales"
1008,"finances publiques"
1009,Finlande
1010,fiscalité
1011,Unicef
1012,"fission nucléaire"
1013,"Agence internationale de l'énergie"
1014,"fixation des prix"
1015,"fixation du salaire"
1016,"province de Flandre occidentale"
1017,"province de Flandre orientale"
1018,"flocon de céréale"
1019,flore
1020,floriculture
1021,flottage
1022,"flotte aérienne"
1023,"Agence internationale de l'énergie atomique"
1024,"flotte de pêche"
1025,"flotte fluviale"
1026,"flotte marchande"
1027,"fluctuation conjoncturelle"
1028,"fluctuation des prix"
1029,"fluctuation économique"
1030,"fluctuation structurelle"
1031,fluor
1032,"Fonds monétaire international"
1033,"Association internationale de la sécurité sociale"
1034,"Fonds des Nations unies pour la population"
1035,"fonction publique"
1036,fonctionnaire
1037,"fonctionnaire européen"
1038,"fond côtier"
1039,"fond marin"
1040,fondation
1041,"fonds CE"
1042,"fonds commun"
1043,"fonds de commerce"
1044,"Fonds européen de développement régional"
1045,"fonds de roulement"
1046,"Fonds monétaire européen"
1047,fonte
1048,forage
1049,"forage en mer"
1050,ajournement
1051,forêt
1052,"forêt classée"
1053,"forêt de haute futaie"
1054,"forêt de taillis"
1055,"forêt naturelle"
1056,"forêt plantée"
1057,"formalité douanière"
1058,"formation à la gestion"
1059,"formation des enseignants"
1060,"formation des prix"
1061,"formation en cours d'emploi"
1062,"formation professionnelle"
1063,"ajustement monétaire"
1064,formulaire
1065,four
1066,fournisseur
1067,"fourniture de document"
1068,"frais de justice"
1069,"frais de scolarité"
1070,"frais électoraux"
1071,"frais généraux"
1072,"frais pharmaceutiques"
1073,France
1074,"DOM français"
1075,"PTOM français"
1076,"régions de la France"
1077,Franche-Comté
1078,franchisage
1079,"franchise douanière"
1080,fraude
1081,"fraude électorale"
1082,ALADI
1083,"fraude fiscale"
1084,"fréquentation scolaire"
1085,fret
1086,"Frioul-Vénétie Julienne"
1087,Frise
1088,fromage
1089,"fromage à pâte demi-dure"
1090,"fromage à pâte dure"
1091,"pays de l'ALADI"
1092,"fromage à pâte molle"
1093,"fromage à pâte persillée"
1094,"fromage de brebis"
1095,"fromage de chèvre"
1096,"fromage de vache"
1097,"fromage fondu"
1098,"fromage frais"
1099,fromagerie
1100,frontière
1101,fruit
1102,"fruit à coque"
1103,"fruit à noyau"
1104,"fruit à pépins"
1105,"fruit frais"
1106,"fruit tropical"
1107,"fusion d'entreprises"
1108,"fusion nucléaire"
1109,Gabon
1110,Albanie
1111,Galice
1112,Gambie
1113,garantie
1114,"garantie de crédit"
1115,"garantie de revenu"
1116,"garantie des investissements"
1117,"garde d'enfants"
1118,alcool
1119,gaspillage
1120,GATT
1121,"gauche politique"
1122,gauchisme
1123,gaz
1124,"gaz de combustion"
1125,"gaz naturel"
1126,gazoduc
1127,"alcool chimique"
1128,"gel des terres"
1129,"génie civil"
1130,génisse
1131,géochimie
1132,géographie
1133,"géographie économique"
1134,"géographie politique"
1135,géologie
1136,géophysique
1137,gérontologie
1138,gestion
1139,"gestion comptable"
1140,"gestion d'entreprise"
1141,"gestion de l'espace"
1142,"gestion des déchets"
1143,"gestion des pêches"
1144,"gestion des ressources"
1145,"gestion du matériel"
1146,alcoolisme
1147,"administration du personnel"
1148,"gestion financière"
1149,"gestion prévisionnelle"
1150,Ghana
1151,gibier
1152,Gibraltar
1153,glace
1154,glucose
1155,golfe
1156,gouvernement
1157,"gouvernement en exil"
1158,"gouvernement insurrectionnel"
1159,"graisse alimentaire"
1160,"graisse industrielle"
1161,Alentejo
1162,"grande entreprise"
1163,"grande exploitation"
1164,"Grandes Antilles"
1165,"gratuité des soins"
1166,Grèce
1167,"Grèce centrale"
1168,"régions de la Grèce"
1169,Grenade
1170,grève
1171,Algarve
1172,Groenland
1173,Groningue
1174,"Communauté andine"
1175,"pays de la Communauté andine"
1176,"groupe d'intérêt"
1177,"groupe de sociétés"
1178,"groupe des Dix"
